Id,English,Hindi
6948,Fat,"मोटा, वसा ऊतक, वसा तंतु, चर्बी, मोटा, मॉसल, चर्बी, चरबी, बड़ा, मोटा, मोटा, भरी-भरकम, मोटा ताजा, तैलाक्त, स्थूल, उत्कृष्ट"
6949,Fat cat,धनवान
6950,Fat chance,सवाल ही नहीं उठता!
6951,Fate,"भाग्य, भाग्यदेवी, निर्धारित करना, विधि, दैव, यूनानि भाग्यडेवी, अंत, दुर्भाग्य, विध्वंस, किस्मत, म्रिट्यु"
6952,Fat head,मूर्ख
6953,Father,"पादरी, पादरी, बाप, प्रणेता, जनक, पिता, परम पिता, जन्म देना"
6954,Father Christmas,सांता क्लॉज़
6955,Father figure,वयस्क आदमी
6956,Fatherland,पितृभूमि
6957,Fault finding,छिद्रान्वेशण
6958,Fault,"दोष, डुर्बलता, गलती, टेनिस में गलत गेंद फेंकना, त्रुटि, गलती, अव्गुण, बुराई, गलती, स्तरभ्रंश, दोष निकालना, खराबि, दोष, दोष, गलत रूप से चलाय गेन्द, गलत रूप से चलाय गेन्द, शिकार खो बैठना"
6959,Favorable,"अनुकूल, स्वीकारात्मक, लाभदायक"
6960,Favorably,प्रशंसात्मक ढंग से
6961,Favored,"सुखद, कृपापात्र, पसंदीदा"
6962,Favor,"सहायता देना, समर्थन, पक्षपात करना, मिलता-जुलता होना, पक्ष, सहायता, बिल्ला, अनुमोदन करना"
6963,Favorite,प्रिय
6964,Favoritism,पक्षपात
6965,Favourable,"अनुकूल, स्विकाराट्मक"
6966,Favourably,प्रशंसात्मक ढंग से
6967,Favoured,"सुखद, कृपापात्र, पसंदीदा"
6968,Favour,"साथ देना, कृपादृष्टि रखना, पसन्द करना, पक्ष लेना"
6969,Favourite,"प्रिय व्यक्ति, प्रिय, प्रिय"
6970,Favouritism,पक्षपात
6971,Fax,"फ़ैक्स द्वारा भेजना, फ़ैक्स, फ़ैक्स से भेजा संदेश"
6972,Fax machine,फ़ैक्स
6973,Fear,"भय, आशंका करना, से भयभीत होना, से डरना, से डरना, डरना, डर से होश खोनाना, डर, से डरना, डर जाना, शंका होना, से डरना, बेचैनी"
6974,Fear for,चिंतित होना
6975,Fearful,"भयावह, भयभीत, बुरा"
6976,Feast,"भोज, उत्सव, समारोह, भोज देना, खाना"
6977,Feather,"पंख, पर लगाना, पंख, पिच्छ, पर, पक्षयुक्त करना"
6978,Feather bed,परों का बिछौना
6979,Feather bed,सहायता पहुँचाकर आसान बनाना
6980,Feather boa,फ़ैदर स्कार्फ़
6981,Feather brained,मूर्ख
6982,Feature,"महत्वपूर्ण लेख, विशेषता, दिखाना, पेश करना, प्रधानता देना, चेहरा-मोहरा, लक्षण, वैशिष्ट्य"
6983,Feb,फरवरीई
6984,Fecal,विष्ठा संबंधी
6985,Feces,विष्ठा
6986,Fecund,"उर्वर, बहुप्रज"
6987,Federal,"केंद्रीय शासन से संबन्धित, संघीय"
6988,Federate,"संघबद्ध, संघबद्ध करना"
6989,Fed up,"थका हुआ, ऊबा हुआ"
6990,Feeble,"अशक्त, कमजोर, मामूली"
6991,Feeble minded,मूर्ख
6992,Feed,"खिलाना, भरना, पोषण करना, डालना, चारा डालना, खिलाना, खाना देना, पालन-पोषण करना, भरना, बढावा देना, खिलाना, खिलाना, चारा डालना, खिलाना, भड़काना, अभिनेता को आगे का संवाद बताना, पालन-पोषण करना, बढावा देना, भड़काना, डालना, चारा प्रबंध करना, पोषित करना, चारा, चारे की खोज, भोजन का प्रबन्ध करना, खिलाना, पहुँचानेवाला नल"
